start_time,end_time,duration,1.0-8.0A_peak_time,1.0-8.0A_time_until_peak,1.0-8.0A_peak_val,4-10keV_peak_time,4-10keV_time_until_peak,4-10keV_peak_val,10-15keV_peak_time,10-15keV_time_until_peak,10-15keV_peak_val,15-25keV_peak_time,15-25keV_time_until_peak,15-25keV_peak_val,25-50keV_peak_time,25-50keV_time_until_peak,25-50keV_peak_val,50-84keV_peak_time,50-84keV_time_until_peak,50-84keV_peak_val,bkg 4-10 keV,bkg 10-15 keV,bkg 15-25 keV,bkg 25-50 keV,bkg 50-84 keV
2021-04-22 04:10:00.000,2021-04-22 05:00:00.000,0:50:00,2021-04-22 04:35:34,0:25:34,4.0798545e-06,2021-04-22 04:49:11.748000,0:39:11.748000,2687,2021-04-22 04:21:15.745000,0:11:15.745000,199,2021-04-22 04:44:27.747000,0:34:27.747000,99,2021-04-22 03:40:27.841000,"-1 day, 23:30:27.841000",0,2021-04-22 03:40:27.841000,"-1 day, 23:30:27.841000",0,247.0,49.0,67.0,863.0,463.0
2024-11-06 12:25:00.000,2024-11-06 12:35:00.000,0:10:00,2024-11-06 12:31:14,0:06:14,7.221771e-06,2024-11-06 12:02:43.432000,"-1 day, 23:37:43.432000",126975,2024-11-06 12:02:39.432000,"-1 day, 23:37:39.432000",13823,2024-11-06 12:02:31.432000,"-1 day, 23:37:31.432000",1471,2024-11-06 11:54:07.431000,"-1 day, 23:29:07.431000",0,2024-11-06 11:54:07.431000,"-1 day, 23:29:07.431000",0,303.0,41.0,49.0,607.0,303.0
2024-11-06 22:20:00.000,2024-11-06 22:43:00.000,0:23:00,2024-11-06 22:28:56,0:08:56,5.6420613e-06,2024-11-06 22:25:09.385000,0:05:09.385000,21503,2024-11-06 22:25:09.385000,0:05:09.385000,3967,2024-11-06 22:25:05.385000,0:05:05.385000,607,2024-11-06 22:12:45.383000,"-1 day, 23:52:45.383000",0,2024-11-06 22:12:45.383000,"-1 day, 23:52:45.383000",0,303.0,41.0,49.0,607.0,303.0
2024-11-07 07:20:00.000,2024-11-07 07:36:00.000,0:16:00,2024-11-07 07:26:51,0:06:51,1.3645328e-05,2024-11-07 07:23:55.540000,0:03:55.540000,139263,2024-11-07 07:24:35.540000,0:04:35.540000,17407,2024-11-07 07:23:15.540000,0:03:15.540000,1471,2024-11-07 07:14:03.539000,"-1 day, 23:54:03.539000",0,2024-11-07 07:14:03.539000,"-1 day, 23:54:03.539000",0,303.0,41.0,49.0,607.0,303.0
2024-11-07 07:36:00.000,2024-11-07 07:46:00.000,0:10:00,2024-11-07 07:43:37,0:07:37,1.676105e-05,2024-11-07 07:40:51.486000,0:04:51.486000,155647,2024-11-07 07:24:35.484000,"-1 day, 23:48:35.484000",17407,2024-11-07 07:38:59.486000,0:02:59.486000,1727,2024-11-07 07:14:03.483000,"-1 day, 23:38:03.483000",0,2024-11-07 07:14:03.483000,"-1 day, 23:38:03.483000",0,303.0,41.0,49.0,607.0,303.0
