start_time,end_time,1.0-8.0A_peak_time,1.0-8.0A_peak_val,4-10keV_peak_time,4-10keV_peak_val,10-15keV_peak_time,10-15keV_peak_val,15-25keV_peak_time,15-25keV_peak_val,25-50keV_peak_time,25-50keV_peak_val,50-84keV_peak_time,50-84keV_peak_val,bkg 4-10 keV,bkg 10-15 keV,bkg 15-25 keV,bkg 25-50 keV,bkg 50-84 keV
2021-12-24 06:02:00.000,2021-12-24 06:17:00.000,2021-12-24 06:10:19,1.763522e-06,2021-12-24 06:09:14.500000,2431,2021-12-24 06:08:06.499000,215,2021-12-24 05:31:26.496000,91,2021-12-24 05:25:14.495000,0,2021-12-24 05:25:14.495000,0,271.0,49.0,67.0,799.0,431.0
2021-12-24 22:27:00.000,2021-12-24 22:53:00.000,2021-12-24 22:45:28,1.446692e-06,2021-12-24 22:33:50.690000,1215,2021-12-24 22:13:18.688000,231,2021-12-24 22:13:14.688000,135,2021-12-24 22:10:34.688000,0,2021-12-24 22:10:34.688000,0,271.0,49.0,67.0,799.0,431.0
2021-12-25 09:00:00.000,2021-12-25 09:32:00.000,2021-12-25 09:13:35,2.0445652e-06,2021-12-25 09:11:42.825000,1087,2021-12-25 09:11:42.825000,215,2021-12-25 09:11:38.825000,107,2021-12-25 08:29:14.821000,0,2021-12-25 08:29:14.821000,0,271.0,49.0,67.0,799.0,431.0
2021-12-26 00:12:00.000,2021-12-26 00:30:00.000,2021-12-26 00:21:44,1.952752e-06,2021-12-26 00:18:43.133000,1471,2021-12-26 00:18:35.133000,199,2021-12-25 23:57:15.131000,0,2021-12-25 23:57:15.131000,0,2021-12-25 23:57:15.131000,0,271.0,49.0,67.0,799.0,431.0
2021-12-28 00:25:00.000,2021-12-28 00:36:00.000,2021-12-28 00:32:54,1.372451e-06,2021-12-28 00:31:25.150000,1087,2021-12-28 00:30:05.150000,135,2021-12-28 00:18:29.149000,91,2021-12-28 00:15:17.149000,0,2021-12-28 00:15:17.149000,0,271.0,49.0,67.0,799.0,431.0
2022-01-29 21:33:00.000,2022-01-29 21:42:00.000,2022-01-29 21:36:53,1.7904533e-06,2022-01-29 21:26:48.308000,3455,2022-01-29 21:26:32.308000,335,2022-01-29 21:26:36.308000,99,2022-01-29 21:25:28.308000,0,2022-01-29 21:25:28.308000,0,271.0,49.0,67.0,799.0,431.0
2022-01-30 21:16:00.000,2022-01-30 21:24:00.000,2022-01-30 21:20:21,1.6044438e-06,2022-01-30 21:19:31.979000,1599,2022-01-30 21:18:15.978000,151,2022-01-30 21:18:15.978000,123,2022-01-30 21:16:11.978000,0,2022-01-30 21:16:11.978000,0,303.0,49.0,67.0,799.0,431.0
2022-02-01 02:48:00.000,2022-02-01 03:09:00.000,2022-02-01 02:57:07,1.320023e-06,2022-02-01 02:54:31.868000,1855,2022-02-01 02:53:55.868000,199,2022-02-01 02:24:43.865000,91,2022-02-01 02:12:15.864000,0,2022-02-01 02:12:15.864000,0,271.0,49.0,67.0,799.0,431.0
2022-02-01 11:55:00.000,2022-02-01 12:11:00.000,2022-02-01 12:05:36,2.461199e-06,2022-02-01 12:03:25.344000,2175,2022-02-01 12:01:33.343000,247,2022-02-01 12:01:01.343000,91,2022-02-01 11:52:17.342000,0,2022-02-01 11:52:17.342000,0,271.0,49.0,67.0,799.0,431.0
2022-02-12 17:03:00.000,2022-02-12 17:12:00.000,2022-02-12 17:08:01,9.640358e-06,2022-02-12 16:36:05.042000,335,2022-02-12 16:36:13.042000,75,2022-02-12 16:45:21.042000,91,2022-02-12 16:35:05.041000,0,2022-02-12 16:35:05.041000,0,271.0,49.0,67.0,799.0,431.0
2022-02-28 08:05:00.000,2022-02-28 09:02:00.000,2022-02-28 08:36:02,1.3828645e-06,2022-02-28 08:26:11.133000,1343,2022-02-28 08:20:27.132000,123,2022-02-28 07:37:11.128000,91,2022-02-28 07:36:31.128000,0,2022-02-28 07:36:31.128000,0,271.0,49.0,67.0,799.0,431.0
2022-03-02 16:59:00.000,2022-03-02 17:13:00.000,2022-03-02 17:07:57,1.6086703e-06,2022-03-02 17:06:41.560000,11775,2022-03-02 17:06:13.560000,1343,2022-03-02 17:06:13.560000,431,2022-03-02 16:56:45.559000,0,2022-03-02 16:56:45.559000,0,271.0,49.0,67.0,799.0,431.0
2022-03-03 20:39:00.000,2022-03-03 21:02:00.000,2022-03-03 20:48:35,1.3035205e-06,2022-03-03 20:45:48.837000,4351,2022-03-03 20:45:04.837000,607,2022-03-03 20:44:40.837000,135,2022-03-03 20:39:32.836000,0,2022-03-03 20:39:32.836000,0,247.0,49.0,67.0,799.0,431.0
2022-03-04 06:22:00.000,2022-03-04 06:41:00.000,2022-03-04 06:34:07,1.183027e-06,2022-03-04 06:24:07.378000,1855,2022-03-04 06:20:51.378000,231,2022-03-04 06:21:27.378000,99,2022-03-04 06:19:35.378000,0,2022-03-04 06:19:35.378000,0,247.0,49.0,61.0,799.0,431.0
