goes_start_time,goes_end_time,stix_start_time,stix_end_time
2022-04-19 20:39:00.000,2022-04-19 20:58:00.000,2022-04-19T20:35:24.133,2022-04-19T22:04:56.143
2022-04-20 01:07:00.000,2022-04-20 01:20:00.000,2022-04-20T01:08:04.162,2022-04-20T01:15:36.163
2022-04-20 01:20:00.000,2022-04-20 01:44:00.000,2022-04-20T01:19:36.163,2022-04-20T01:52:24.167
2022-04-20 03:41:00.000,2022-04-20 04:04:00.000,2022-04-20T03:31:04.177,2022-04-20T04:30:08.183
2022-04-29 18:01:00.000,2022-04-29 18:22:00.000,2022-04-29T18:01:39.678,2022-04-29T18:27:19.681
2022-04-30 04:46:00.000,2022-04-30 05:07:00.000,2022-04-30T04:39:47.544,2022-04-30T05:55:31.552
2022-04-30 09:48:00.000,2022-04-30 10:05:00.000,2022-04-30T09:51:31.576,2022-04-30T10:00:51.577
2022-04-30 13:37:00.000,2022-04-30 13:52:00.000,2022-04-30T13:35:03.599,2022-04-30T14:19:47.603
2022-04-30 19:42:00.000,2022-04-30 19:54:00.000,2022-04-30T19:39:23.638,2022-04-30T19:59:35.640
2022-05-03 07:34:00.000,2022-05-03 08:01:00.000,2022-05-03T07:26:52.109,2022-05-03T08:42:08.117
2022-05-03 13:09:00.000,2022-05-03 13:31:00.000,2022-05-03T13:11:47.945,2022-05-03T14:26:23.953
2022-05-04 00:08:00.000,2022-05-04 00:25:00.000,2022-05-04T00:16:47.914,2022-05-04T00:44:03.917
2022-05-04 20:09:00.000,2022-05-04 20:36:00.000,2022-05-04T20:17:15.938,2022-05-04T20:26:19.939
2022-05-05 14:02:00.000,2022-05-05 14:14:00.000,2022-05-05T14:10:23.847,2022-05-05T14:32:11.850
2022-05-10 13:50:00.000,2022-05-10 13:59:00.000,2022-05-10T13:29:40.086,2022-05-10T14:03:04.089
2022-05-11 18:13:00.000,2022-05-11 19:27:00.000,2022-05-11T18:13:47.964,2022-05-11T19:43:15.973
2022-05-12 20:04:00.000,2022-05-12 20:27:00.000,2022-05-12T20:05:39.924,2022-05-12T21:15:31.831
2022-05-14 23:58:00.000,2022-05-15 00:17:00.000,2022-05-14T23:41:43.846,2022-05-15T00:58:11.854
2022-05-19 07:00:00.000,2022-05-19 07:31:00.000,2022-05-19T06:49:19.786,2022-05-19T07:19:23.788
2022-06-10 10:11:00.000,2022-06-10 11:14:00.000,2022-06-10T10:01:58.149,2022-06-10T11:18:10.157
2022-07-16 15:33:00.000,2022-07-16 15:44:00.000,2022-07-16T15:36:16.298,2022-07-16T17:16:24.308
2022-08-18 10:37:00.000,2022-08-18 11:13:00.000,2022-08-18T10:41:24.061,2022-08-18T12:05:12.069
2022-08-19 04:14:00.000,2022-08-19 05:18:00.000,2022-08-19T04:16:52.069,2022-08-19T05:36:56.078
2022-08-25 19:39:00.000,2022-08-25 20:02:00.000,2022-08-25T19:41:04.255,2022-08-25T20:21:36.259
2022-08-26 10:41:00.000,2022-08-26 11:05:00.000,2022-08-26T10:29:28.146,2022-08-26T10:53:28.049
2022-08-26 12:24:00.000,2022-08-26 12:38:00.000,2022-08-26T12:28:24.059,2022-08-26T12:31:24.060
2022-08-27 01:52:00.000,2022-08-27 03:05:00.000,2022-08-27T01:57:44.042,2022-08-27T01:59:44.043
2022-08-27 11:29:00.000,2022-08-27 11:43:00.000,2022-08-27T11:20:48.100,2022-08-27T11:51:36.103
2022-08-27 15:13:00.000,2022-08-27 15:30:00.000,2022-08-27T15:08:36.123,2022-08-27T15:32:00.126
2022-08-27 15:45:00.000,2022-08-27 16:21:00.000,2022-08-27T15:44:16.127,2022-08-27T16:36:40.133
2022-08-28 00:47:00.000,2022-08-28 01:38:00.000,2022-08-28T00:52:00.184,2022-08-28T01:42:52.189
2022-08-28 15:48:00.000,2022-08-28 16:46:00.000,2022-08-28T15:51:48.276,2022-08-28T17:36:28.309
2022-08-28 18:20:00.000,2022-08-28 18:50:00.000,2022-08-28T18:07:52.314,2022-08-28T19:20:32.320
2022-08-29 03:24:00.000,2022-08-29 03:47:00.000,2022-08-29T03:22:56.371,2022-08-29T04:16:32.376
2022-08-29 10:48:00.000,2022-08-29 11:12:00.000,2022-08-29T10:46:55.916,2022-08-29T12:01:51.924
2022-08-29 14:46:00.000,2022-08-29 15:08:00.000,2022-08-29T14:20:19.938,2022-08-29T15:38:27.847
2022-08-29 18:45:00.000,2022-08-29 19:08:00.000,2022-08-29T18:39:19.866,2022-08-29T19:28:15.870
2022-08-30 01:58:00.000,2022-08-30 02:24:00.000,2022-08-30T01:55:47.911,2022-08-30T02:17:55.913
2022-08-30 18:04:00.000,2022-08-30 21:23:00.000,2022-08-30T17:35:51.709,2022-08-30T19:09:43.719
2022-09-12 23:37:00.000,2022-09-12 23:48:00.000,2022-09-12T23:23:04.001,2022-09-13T00:07:12.005
2022-09-14 09:41:00.000,2022-09-14 10:43:00.000,2022-09-14T09:59:59.819,2022-09-14T10:11:19.821
2022-09-16 09:44:00.000,2022-09-16 09:56:00.000,2022-09-16T09:31:27.617,2022-09-16T10:38:47.624
2022-09-16 15:49:00.000,2022-09-16 16:12:00.000,2022-09-16T15:45:59.557,2022-09-16T16:34:43.562
2022-09-17 20:32:00.000,2022-09-17 20:52:00.000,2022-09-17T20:05:23.334,2022-09-17T21:05:35.341
2022-09-23 17:48:00.000,2022-09-23 18:41:00.000,2022-09-23T17:53:22.036,2022-09-23T17:58:46.037
2022-09-30 16:11:00.000,2022-09-30 16:33:00.000,2022-09-30T16:06:08.391,2022-09-30T17:09:32.397
2022-09-30 17:30:00.000,2022-09-30 17:45:00.000,2022-09-30T17:25:12.399,2022-09-30T18:02:24.403
2022-10-02 13:52:00.000,2022-10-02 14:23:00.000,2022-10-02T13:50:28.482,2022-10-02T14:42:04.487
2022-10-02 19:53:00.000,2022-10-02 20:34:00.000,2022-10-02T19:49:16.520,2022-10-02T20:57:36.527
2022-10-03 02:19:00.000,2022-10-03 03:02:00.000,2022-10-03T02:24:04.562,2022-10-03T02:32:04.563
2022-10-04 12:48:00.000,2022-10-04 13:51:00.000,2022-10-04T12:18:08.078,2022-10-04T12:59:36.082
2022-10-10 16:05:00.000,2022-10-10 16:47:00.000,2022-10-10T15:59:27.936,2022-10-10T17:26:59.945
2022-11-11 07:00:00.000,2022-11-11 07:20:00.000,2022-11-11T06:56:36.045,2022-11-11T07:36:16.049
2022-11-11 11:27:00.000,2022-11-11 11:46:00.000,2022-11-11T11:12:56.072,2022-11-11T12:10:12.077
2022-11-12 00:09:00.000,2022-11-12 00:24:00.000,2022-11-12T00:06:43.951,2022-11-12T01:06:19.957
2022-11-19 12:42:00.000,2022-11-19 13:11:00.000,2022-11-19T12:33:08.397,2022-11-19T13:55:00.405
2022-12-03 17:36:00.000,2022-12-03 17:45:00.000,2022-12-03T17:35:20.638,2022-12-03T17:48:12.639
2022-12-14 07:30:00.000,2022-12-14 07:47:00.000,2022-12-14T07:12:52.428,2022-12-14T08:21:04.435
2022-12-14 08:24:00.000,2022-12-14 08:37:00.000,2022-12-14T08:23:52.435,2022-12-14T08:29:00.436
2022-12-14 09:20:00.000,2022-12-14 09:35:00.000,2022-12-14T09:19:44.340,2022-12-14T09:47:28.343
2022-12-14 11:45:00.000,2022-12-14 12:17:00.000,2022-12-14T11:45:40.355,2022-12-14T13:10:08.364
2022-12-14 14:31:00.000,2022-12-14 14:49:00.000,2022-12-14T14:33:28.373,2022-12-14T15:15:00.377
2022-12-14 17:03:00.000,2022-12-14 17:23:00.000,2022-12-14T17:04:56.389,2022-12-14T17:48:08.393
2022-12-14 20:52:00.000,2022-12-14 21:02:00.000,2022-12-14T20:35:12.411,2022-12-14T21:18:12.415
2022-12-14 21:33:00.000,2022-12-14 21:45:00.000,2022-12-14T21:35:12.417,2022-12-14T21:43:52.418
2022-12-14 21:45:00.000,2022-12-14 21:57:00.000,2022-12-14T21:45:24.418,2022-12-14T21:55:16.419
2022-12-14 21:57:00.000,2022-12-14 22:17:00.000,2022-12-14T21:34:00.417,2022-12-14T22:48:20.424
2022-12-15 01:24:00.000,2022-12-15 01:49:00.000,2022-12-15T01:17:40.240,2022-12-15T01:49:52.244
2022-12-15 06:55:00.000,2022-12-15 07:22:00.000,2022-12-15T06:55:28.275,2022-12-15T08:35:24.286
2022-12-15 16:35:00.000,2022-12-15 16:47:00.000,2022-12-15T16:36:40.336,2022-12-15T17:35:36.342
2022-12-15 22:20:00.000,2022-12-15 22:57:00.000,2022-12-15T22:12:32.171,2022-12-15T23:21:32.178
2022-12-16 01:30:00.000,2022-12-16 02:30:00.000,2022-12-16T01:30:32.192,2022-12-16T01:31:32.192
2022-12-16 06:30:00.000,2022-12-16 06:54:00.000,2022-12-16T06:14:36.223,2022-12-16T07:02:20.126
2022-12-16 07:26:00.000,2022-12-16 07:47:00.000,2022-12-16T07:14:56.128,2022-12-16T08:05:24.133
2022-12-16 08:55:00.000,2022-12-16 09:11:00.000,2022-12-16T08:56:20.138,2022-12-16T09:21:44.141
2022-12-16 09:33:00.000,2022-12-16 09:50:00.000,2022-12-16T09:30:24.142,2022-12-16T09:52:04.144
2022-12-16 10:02:00.000,2022-12-16 10:34:00.000,2022-12-16T10:00:12.145,2022-12-16T10:58:36.151
2022-12-16 14:24:00.000,2022-12-16 15:04:00.000,2022-12-16T14:25:16.073,2022-12-16T15:31:40.080
2022-12-16 15:34:00.000,2022-12-16 15:45:00.000,2022-12-16T15:33:36.080,2022-12-16T15:51:00.082
2022-12-20 13:59:00.000,2022-12-20 14:14:00.000,2022-12-20T13:51:28.368,2022-12-20T14:22:52.372
2022-12-27 00:46:00.000,2022-12-27 01:00:00.000,2022-12-27T00:32:00.334,2022-12-27T01:34:48.341
2022-12-27 16:15:00.000,2022-12-27 16:34:00.000,2022-12-27T16:19:56.433,2022-12-27T16:41:12.435
2022-12-29 06:32:00.000,2022-12-29 08:08:00.000,2022-12-29T06:35:52.572,2022-12-29T08:07:32.581
2022-12-29 18:11:00.000,2022-12-29 18:26:00.000,2022-12-29T18:16:08.445,2022-12-29T18:22:40.445
2022-12-30 15:24:00.000,2022-12-30 15:32:00.000,2022-12-30T15:24:20.277,2022-12-30T15:37:20.278
2022-12-30 19:26:00.000,2022-12-30 19:47:00.000,2022-12-30T19:22:36.302,2022-12-30T20:29:40.308
2023-01-06 00:43:00.000,2023-01-06 01:07:00.000,2023-01-06T00:47:23.934,2023-01-06T02:00:31.942
2023-01-07 00:40:00.000,2023-01-07 01:02:00.000,2023-01-07T00:37:56.083,2023-01-07T01:47:08.090
2023-01-08 08:39:00.000,2023-01-08 09:06:00.000,2023-01-08T08:42:24.184,2023-01-08T10:06:40.192
2023-01-08 14:51:00.000,2023-01-08 15:21:00.000,2023-01-08T14:27:28.219,2023-01-08T15:38:12.227
2023-01-09 00:51:00.000,2023-01-09 01:19:00.000,2023-01-09T00:31:12.283,2023-01-09T01:37:52.290
2023-01-09 08:45:00.000,2023-01-09 09:16:00.000,2023-01-09T08:39:24.234,2023-01-09T10:16:00.245
2023-01-09 18:37:00.000,2023-01-09 18:57:00.000,2023-01-09T18:28:16.296,2023-01-09T19:37:28.303
2023-01-10 00:09:00.000,2023-01-10 00:22:00.000,2023-01-10T00:10:16.331,2023-01-10T00:39:56.334
2023-01-10 02:33:00.000,2023-01-10 02:54:00.000,2023-01-10T02:11:52.344,2023-01-10T03:20:44.351
2023-01-10 17:17:00.000,2023-01-10 17:34:00.000,2023-01-10T17:18:16.439,2023-01-10T17:39:04.441
2023-01-10 17:44:00.000,2023-01-10 17:52:00.000,2023-01-10T17:46:40.442,2023-01-10T17:57:28.443
2023-01-10 22:39:00.000,2023-01-10 22:52:00.000,2023-01-10T22:40:04.472,2023-01-10T23:24:24.477
2023-01-11 00:39:00.000,2023-01-11 01:10:00.000,2023-01-11T00:40:12.485,2023-01-11T01:41:32.491
2023-01-11 01:49:00.000,2023-01-11 02:01:00.000,2023-01-11T01:45:40.491,2023-01-11T02:22:44.496
